region,subregion,date,distribution_name,information,scale,inequality,shape,aic,bic,meanlog,sdlog,log-likelihood
Brazil,State,2020-04-16,burr,cum_cases,1174.98474571613,297.92974142848,0.00699231058621592,428.269667183247,432.15717778126,NA,NA,NA
Brazil,State,2020-04-16,burr,cum_deaths,73.1679231758053,279.688808571398,0.00820274449489371,270.791531796153,274.679042394166,NA,NA,NA
Brazil,State,2020-04-16,gamma,cum_cases,1151.88888888889,NA,0.64190393773754,434.437636181275,437.029309913284,NA,NA,NA
Brazil,State,2020-04-16,gamma,cum_deaths,72.6666666666666,NA,0.49888883920495,277.672195012639,280.263868744648,NA,NA,NA
Brazil,State,2020-04-16,lognormal,cum_cases,NA,NA,NA,426.772094667481,476.772094667481,6.09602347856671,1.36909515675563,211.386047333741
Brazil,State,2020-04-16,lognormal,cum_deaths,NA,NA,NA,265.982692686476,315.982692686476,3.01225173869048,1.52248147249016,130.991346343238
Brazil,State,2020-04-16,weibull,cum_cases,887.918733652966,NA,0.722842317746337,431.755506716113,434.347180448122,NA,NA,NA
Brazil,State,2020-05-01,burr,cum_cases,3595.89593338754,316.747597312532,0.00663502429331427,487.897781728844,491.785292326857,NA,NA,NA
Brazil,State,2020-05-01,burr,cum_deaths,240.704414685021,290.221554766343,0.0077193593763437,336.877017103293,340.764527701306,NA,NA,NA
Brazil,State,2020-05-01,gamma,cum_cases,3432.0370370381,NA,0.77377791992888,496.319288250801,498.910961982809,NA,NA,NA
Brazil,State,2020-05-01,gamma,cum_deaths,238.481481481482,NA,0.499510388021193,341.89577672267,344.487450454679,NA,NA,NA
Brazil,State,2020-05-01,lognormal,cum_cases,NA,NA,NA,487.538913011192,537.538913011192,7.37050283175759,1.1793720398406,241.769456505596
Brazil,State,2020-05-01,lognormal,cum_deaths,NA,NA,NA,331.376730406292,381.376730406292,4.2024894068443,1.55442096359933,163.688365203146
Brazil,State,2020-05-01,weibull,cum_cases,2926.03622226039,NA,0.799454670911163,494.465055170946,497.056728902954,NA,NA,NA
Brazil,State,2020-05-15,burr,cum_cases,8972.60139027564,34.1328808791375,0.0639948326172649,539.043033798801,542.930544396814,NA,NA,NA
Brazil,State,2020-05-15,burr,cum_deaths,565.993498651074,319.090273385627,0.00689165654432676,384.630185498467,388.51769609648,NA,NA,NA
Brazil,State,2020-05-15,gamma,cum_cases,8171.11111111112,NA,0.897199366570329,544.236142848838,546.827816580847,NA,NA,NA
Brazil,State,2020-05-15,gamma,cum_deaths,554.925925925926,NA,0.532796757750417,389.886892559089,392.478566291097,NA,NA,NA
Brazil,State,2020-05-15,lognormal,cum_cases,NA,NA,NA,537.101367960693,587.101367960693,8.35651417899997,1.10163583978125,266.550683980347
Brazil,State,2020-05-15,lognormal,cum_deaths,NA,NA,NA,379.63725097537,429.63725097537,5.13827467191547,1.49038541163939,187.818625487685
Brazil,State,2020-05-15,weibull,cum_cases,7525.05211026003,NA,0.873749914586424,543.41104696332,546.002720695328,NA,NA,NA
Brazil,State,2020-06-01,burr,cum_cases,22203.2454838557,34.3145298309668,0.0640611629376734,587.554371902125,591.441882500138,NA,NA,NA
Brazil,State,2020-06-01,burr,cum_deaths,1127.17095538546,245.030007482951,0.0085159355522206,425.975314558095,429.862825156108,NA,NA,NA
Brazil,State,2020-06-01,gamma,cum_cases,19675.7407407408,NA,1.06060807472473,591.846931941763,594.438605673772,NA,NA,NA
Brazil,State,2020-06-01,gamma,cum_deaths,1115.07407407407,NA,0.579700893086917,430.192575373284,432.784249105293,NA,NA,NA
Brazil,State,2020-06-01,lognormal,cum_cases,NA,NA,NA,586.159571920482,636.159571920482,9.34659215828558,1.01531893289195,291.079785960241
Brazil,State,2020-06-01,lognormal,cum_deaths,NA,NA,NA,421.226392087682,471.226392087682,5.94536650881507,1.43635504303226,208.613196043841
Brazil,State,2020-06-01,weibull,cum_cases,19351.0495115799,NA,0.968279046500532,591.851712532108,594.443386264116,NA,NA,NA
Brazil,State,2020-06-15,burr,cum_cases,38705.7547959832,33.3110150680646,0.068833247025189,614.708859683271,618.596370281284,NA,NA,NA
Brazil,State,2020-06-15,burr,cum_deaths,1732.64473196253,42.3537721872765,0.0522713804621562,448.606916947546,452.494427545559,NA,NA,NA
Brazil,State,2020-06-15,gamma,cum_cases,33083.3703703703,NA,1.26346533104653,619.107326942984,621.699000674992,NA,NA,NA
Brazil,State,2020-06-15,gamma,cum_deaths,1636.51851851852,NA,0.658265054928601,453.91179180898,456.503465540988,NA,NA,NA
Brazil,State,2020-06-15,lognormal,cum_cases,NA,NA,NA,613.726292459256,663.726292459256,9.961477514146,0.9146724199849,304.863146229628
Brazil,State,2020-06-15,lognormal,cum_deaths,NA,NA,NA,445.403536048317,495.403536048317,6.47423515362751,1.324410899689,220.701768024158
Brazil,State,2020-06-15,weibull,cum_cases,33990.2740511874,NA,1.06070925943475,619.791485591924,622.383159323932,NA,NA,NA
Brazil,State,2020-07-01,burr,cum_cases,68069.5034163626,21.6387654421773,0.119522031823481,639.390630178578,643.278140776591,NA,NA,NA
Brazil,State,2020-07-01,burr,cum_deaths,2446.05008324748,35.1923668495444,0.0632024815004872,467.537596531406,471.425107129419,NA,NA,NA
Brazil,State,2020-07-01,gamma,cum_cases,54051.2222222223,NA,1.61828330103807,643.192354112782,645.78402784479,NA,NA,NA
Brazil,State,2020-07-01,gamma,cum_deaths,2254.33333333333,NA,0.78605107364992,473.784970536172,476.376644268181,NA,NA,NA
Brazil,State,2020-07-01,lognormal,cum_cases,NA,NA,NA,637.786099909452,687.786099909452,10.5579462089641,0.78654470231063,316.893049954726
Brazil,State,2020-07-01,lognormal,cum_deaths,NA,NA,NA,465.487553501373,515.487553501373,6.96381926317205,1.17739699344365,230.743776750686
Brazil,State,2020-07-01,weibull,cum_cases,57868.0243705229,NA,1.1870376377837,645.019150366402,647.610824098411,NA,NA,NA
Brazil,State,2020-07-15,burr,cum_cases,95924.1648411003,17.1756468859737,0.162435269721865,654.977065383936,658.864575981949,NA,NA,NA
Brazil,State,2020-07-15,burr,cum_deaths,2969.31576062934,352.71975070145,0.00582051392003866,479.410411982722,483.297922580735,NA,NA,NA
Brazil,State,2020-07-15,gamma,cum_cases,73100.5925925927,NA,1.80548385645673,658.04432981574,660.636003547749,NA,NA,NA
Brazil,State,2020-07-15,gamma,cum_deaths,2799.33333333333,NA,0.903460151973878,486.417391407927,489.009065139936,NA,NA,NA
Brazil,State,2020-07-15,lognormal,cum_cases,NA,NA,NA,652.677724973182,702.677724973182,10.897788744268,0.737730217127752,324.338862486591
Brazil,State,2020-07-15,lognormal,cum_deaths,NA,NA,NA,478.557800147702,528.557800147702,7.29036513610932,1.08199039031177,237.278900073851
Brazil,State,2020-07-15,weibull,cum_cases,79262.0505990255,NA,1.24069010532824,660.478537235791,663.0702109678,NA,NA,NA
Brazil,State,2020-08-01,burr,cum_cases,138054.677421252,13.4466645032033,0.228406455631437,671.426185063002,675.313695661015,NA,NA,NA
Brazil,State,2020-08-01,burr,cum_deaths,3826.19333910424,317.489075894862,0.00680046086349477,489.052961867982,492.940472465995,NA,NA,NA
Brazil,State,2020-08-01,gamma,cum_cases,100435.666666666,NA,1.936275088644,674.172009677465,676.763683409474,NA,NA,NA
Brazil,State,2020-08-01,gamma,cum_deaths,3468.22222222222,NA,1.03461124450818,498.155606393414,500.747280125422,NA,NA,NA
Brazil,State,2020-08-01,lognormal,cum_cases,NA,NA,NA,668.658028614525,718.658028614525,11.2373502522359,0.706234670640897,332.329014307263
Brazil,State,2020-08-01,lognormal,cum_deaths,NA,NA,NA,490.532710695126,540.532710695127,7.59569300457613,0.99524539847974,243.266355347563
Brazil,State,2020-08-01,weibull,cum_cases,109527.270622243,NA,1.26666561441974,677.123720666902,679.715394398911,NA,NA,NA
Brazil,State,2020-08-15,burr,cum_cases,168976.169329255,13.5596934610197,0.22708858851757,681.975929566002,685.863440164015,NA,NA,NA
Brazil,State,2020-08-15,burr,cum_deaths,4462.3132382086,213.922512950696,0.0103013938046082,496.250968610757,500.13847920877,NA,NA,NA
Brazil,State,2020-08-15,gamma,cum_cases,122965.851851852,NA,1.9409300477844,685.064491158856,687.656164890864,NA,NA,NA
Brazil,State,2020-08-15,gamma,cum_deaths,3974.85185185185,NA,1.10622283577378,505.368472796877,507.960146528886,NA,NA,NA
Brazil,State,2020-08-15,lognormal,cum_cases,NA,NA,NA,4,54,11.9257009919553,-0.00112843233328119,0
Brazil,State,2020-08-15,lognormal,cum_deaths,NA,NA,NA,498.162372466371,548.162372466371,7.77191995575319,0.961075084560286,247.081186233185
Brazil,State,2020-08-15,weibull,cum_cases,133945.324870882,NA,1.25822163559449,688.159196401727,690.750870133735,NA,NA,NA
Brazil,State,2020-09-01,burr,cum_cases,193764.747245611,18.1258544983503,0.155575650597262,691.835795115653,695.723305713666,NA,NA,NA
Brazil,State,2020-09-01,burr,cum_deaths,5008.80772619122,75.0788038693021,0.0279242161440623,506.556756835985,510.444267433998,NA,NA,NA
Brazil,State,2020-09-01,gamma,cum_cases,146595.74074074,NA,1.94480796271656,694.525745028298,697.117418760306,NA,NA,NA
Brazil,State,2020-09-01,gamma,cum_deaths,4545.07407407408,NA,1.15297836595892,512.44596371353,515.037637445539,NA,NA,NA
Brazil,State,2020-09-01,lognormal,cum_cases,NA,NA,NA,689.197234625851,739.197234625851,11.6168325975633,0.70685387325006,342.598617312925
Brazil,State,2020-09-01,lognormal,cum_deaths,NA,NA,NA,505.690226823207,555.690226823207,7.92912300414506,0.944118586129622,250.845113411603
Brazil,State,2020-09-01,weibull,cum_cases,159899.29127883,NA,1.26814993809815,697.511763478693,700.103437210701,NA,NA,NA
Brazil,State,2020-09-15,burr,cum_cases,214439.964581215,17.976759947304,0.156056464215435,697.837165886958,701.724676484971,NA,NA,NA
Brazil,State,2020-09-15,burr,cum_deaths,5434.26188205125,93.7510678285177,0.0222142994098242,511.347941402287,515.2354520003,NA,NA,NA
Brazil,State,2020-09-15,gamma,cum_cases,162500.851851852,NA,1.92880532786404,700.213613324897,702.805287056905,NA,NA,NA
Brazil,State,2020-09-15,gamma,cum_deaths,4934.74074074074,NA,1.16889225205661,516.823313610432,519.41498734244,NA,NA,NA
Brazil,State,2020-09-15,lognormal,cum_cases,NA,NA,NA,695.148158112528,745.148158112528,11.7173505073395,0.713730429565537,345.574079056264
Brazil,State,2020-09-15,lognormal,cum_deaths,NA,NA,NA,510.391744912037,560.391744912037,8.01880324920532,0.941656194524898,253.195872456019
Brazil,State,2020-09-15,weibull,cum_cases,177161.274734057,NA,1.26657217120967,703.10671896204,705.698392694049,NA,NA,NA
Brazil,State,2020-10-01,burr,cum_cases,237635.244925864,16.5584562003127,0.16964842547849,703.93491934178,707.822429939793,NA,NA,NA
Brazil,State,2020-10-01,burr,cum_deaths,6306.92286122459,17.5091988802364,0.134229802861094,518.578351129668,522.465861727681,NA,NA,NA
Brazil,State,2020-10-01,gamma,cum_cases,179722.074074074,NA,1.90265985449538,705.858304986547,708.449978718555,NA,NA,NA
Brazil,State,2020-10-01,gamma,cum_deaths,5362.96296296296,NA,1.16872444873555,521.317706309757,523.909380041766,NA,NA,NA
Brazil,State,2020-10-01,lognormal,cum_cases,NA,NA,NA,701.068445541282,751.068445541282,11.813925891575,0.723113371941007,348.534222770641
Brazil,State,2020-10-01,lognormal,cum_deaths,NA,NA,NA,515.063235199416,565.063235199416,8.10194120852441,0.944834837668573,255.531617599708
Brazil,State,2020-10-01,weibull,cum_cases,195780.753968642,NA,1.2639915692464,708.610392995022,711.202066727031,NA,NA,NA
Brazil,State,2020-10-15,burr,cum_cases,250063.521610891,18.156758475132,0.150111509129824,707.90481929535,711.792329893363,NA,NA,NA
Brazil,State,2020-10-15,burr,cum_deaths,6213.74879338993,62.6088521584418,0.0330380777249368,519.988392958627,523.87590355664,NA,NA,NA
Brazil,State,2020-10-15,gamma,cum_cases,191713.703703704,NA,1.87793519034988,709.540506349217,712.132180081225,NA,NA,NA
Brazil,State,2020-10-15,gamma,cum_deaths,5653.48148148149,NA,1.16899676466054,524.165331710377,526.757005442386,NA,NA,NA
Brazil,State,2020-10-15,lognormal,cum_cases,NA,NA,NA,704.9721455063,754.9721455063,11.8744773897645,0.7316518689244,350.48607275315
Brazil,State,2020-10-15,lognormal,cum_deaths,NA,NA,NA,518.067163495403,568.067163495403,8.15482182962942,0.947434148364677,257.033581747702
Brazil,State,2020-10-15,weibull,cum_cases,208680.115936693,NA,1.26142097221413,712.165591766546,714.757265498554,NA,NA,NA
Brazil,State,2020-11-01,burr,cum_cases,265587.778278061,19.0515940676791,0.140185883409958,712.065701750221,715.953212348234,NA,NA,NA
Brazil,State,2020-11-01,burr,cum_deaths,6862.37003020723,20.2383165204739,0.112353529215061,524.34025305006,528.227763648074,NA,NA,NA
Brazil,State,2020-11-01,gamma,cum_cases,205452.37037037,NA,1.85624959915976,713.448275159162,716.039948891171,NA,NA,NA
Brazil,State,2020-11-01,gamma,cum_deaths,5930.37037037036,NA,1.16693902352762,526.755938582581,529.347612314589,NA,NA,NA
Brazil,State,2020-11-01,lognormal,cum_cases,NA,NA,NA,709.089418989694,759.089418989694,11.9400490467456,0.739503925345839,352.544709494847
Brazil,State,2020-11-01,lognormal,cum_deaths,NA,NA,NA,520.851230223991,570.851230223991,8.20168941124419,0.951888037858039,258.425615111996
Brazil,State,2020-11-01,weibull,cum_cases,223503.729347659,NA,1.25979153435037,715.949124508394,718.540798240403,NA,NA,NA
Brazil,State,2020-11-15,burr,cum_cases,277402.510542,21.1431295585368,0.123040731424291,715.325927006481,719.213437604494,NA,NA,NA
Brazil,State,2020-11-15,burr,cum_deaths,6949.74205430506,26.8278295079439,0.0811672754051851,526.196030240807,530.08354083882,NA,NA,NA
Brazil,State,2020-11-15,gamma,cum_cases,217204.407407408,NA,1.84199049175219,716.563995979997,719.155669712005,NA,NA,NA
Brazil,State,2020-11-15,gamma,cum_deaths,6141.62962962963,NA,1.16931213751769,528.636211650125,531.227885382134,NA,NA,NA
Brazil,State,2020-11-15,lognormal,cum_cases,NA,NA,NA,712.354577980601,762.354577980601,11.9932323629545,0.744909392409319,354.1772889903
Brazil,State,2020-11-15,lognormal,cum_deaths,NA,NA,NA,522.881874015016,572.881874015016,8.23778549435232,0.953324446297749,259.440937007508
Brazil,State,2020-11-15,weibull,cum_cases,236247.412081682,NA,1.26029486790229,718.965018023201,721.55669175521,NA,NA,NA
Brazil,State,2020-12-01,burr,cum_cases,300717.745402226,21.7500681583962,0.118137030646078,720.227993137268,724.115503735281,NA,NA,NA
Brazil,State,2020-12-01,burr,cum_deaths,7153.95544110308,37.1441395464633,0.0566135575033293,528.523088345972,532.410598943985,NA,NA,NA
Brazil,State,2020-12-01,gamma,cum_cases,236782.481481481,NA,1.82205040822426,721.380885218982,723.972558950991,NA,NA,NA
Brazil,State,2020-12-01,gamma,cum_deaths,6440.62962962963,NA,1.1646071682625,531.222725615725,533.814399347734,NA,NA,NA
Brazil,State,2020-12-01,lognormal,cum_cases,NA,NA,NA,717.322846722935,767.322846722935,12.0760517042444,0.751783705118787,356.661423361467
Brazil,State,2020-12-01,lognormal,cum_deaths,NA,NA,NA,525.589390655728,575.589390655728,8.28315046352861,0.957885114524687,260.794695327864
Brazil,State,2020-12-01,weibull,cum_cases,257475.905685347,NA,1.26064691860939,723.647691354317,726.239365086325,NA,NA,NA
Brazil,State,2020-12-15,burr,cum_cases,326653.193912863,21.5933567058441,0.11765851776806,725.471573142047,729.35908374006,NA,NA,NA
Brazil,State,2020-12-15,burr,cum_deaths,7544.13802880046,34.4528650577723,0.0612426343027161,531.523075132201,535.410585730214,NA,NA,NA
Brazil,State,2020-12-15,gamma,cum_cases,258568.444444444,NA,1.78306939542037,726.439422363301,729.03109609531,NA,NA,NA
Brazil,State,2020-12-15,gamma,cum_deaths,6775.03703703703,NA,1.16590881592986,533.950752969935,536.542426701944,NA,NA,NA
Brazil,State,2020-12-15,lognormal,cum_cases,NA,NA,NA,722.577550459598,772.577550459598,12.1570187049187,0.76417103057423,359.288775229799
Brazil,State,2020-12-15,lognormal,cum_deaths,NA,NA,NA,528.4408617016,578.4408617016,8.33437157671165,0.959404034321844,262.2204308508
Brazil,State,2020-12-15,weibull,cum_cases,280767.807385902,NA,1.2551308854262,728.521523303936,731.113197035945,NA,NA,NA
Brazil,State,2021-01-01,burr,cum_cases,358900.192187742,20.8144408454855,0.121111364859131,731.274175619911,735.161686217924,NA,NA,NA
