region,subregion,lag,frequency,cum_frequency,psd,days,psd_d1,psd_d2,psd_d1_sd,psd_d2_sd,maxima,lag_days
Brazil,State,22,1,0.045454545454545456,3.2492182777367407,22,-0.05135194892135031,0.9849911143752741,0.09599728077384972,0.1290494171707138,1,22
Brazil,State,29,1,0.034482758620689655,2.5977604106545336,29,0.021991061946619705,0.18526107305838524,0.09599728077384972,0.1290494171707138,2,22
Brazil,State,30,1,0.03333333333333333,2.561257714058512,30,-0.036502696596021345,-0.05849375854264105,0.09599728077384972,0.1290494171707138,3,22
Brazil,State,38,1,0.02631578947368421,1.9400565824981855,38,-0.08772364389325826,0.07732148763495639,0.09599728077384972,0.1290494171707138,4,22
Brazil,State,41,1,0.024390243902439025,1.869743016160633,41,0.044196380113658895,0.08749755632309686,0.09599728077384972,0.1290494171707138,5,22
Brazil,State,39,1,0.02564102564102564,1.868847812256412,39,-0.07120877024177341,0.01651487365148485,0.09599728077384972,0.1290494171707138,6,22
Brazil,State,40,1,0.025,1.825546636046974,40,-0.043301176209437964,0.027907594032335448,0.09599728077384972,0.1290494171707138,7,22
Brazil,State,45,1,0.022222222222222223,1.688885321577477,45,0.012566001000294591,-0.07420680932608525,0.09599728077384972,0.1290494171707138,8,22
Brazil,State,44,1,0.022727272727272728,1.6763193205771825,44,0.08677281032637985,0.2124759975390449,0.09599728077384972,0.1290494171707138,9,22
Brazil,State,50,1,0.02,1.5052061777580759,50,0.033739394235636766,0.17555644828518413,0.09599728077384972,0.1290494171707138,10,22
Europe,Country,21,1,0.047619047619047616,1.470598861941269,21,0.03484870899264836,1.5063624489220928,0.11122552320821845,0.1320103583424907,1,21
Europe,Country,27,1,0.037037037037037035,1.3617840086623259,27,0.03222345846962171,0.10023808699475634,0.11122552320821845,0.1320103583424907,2,21
Europe,Country,26,1,0.038461538461538464,1.3295605501927041,26,-0.06801462852513462,0.2284648114517709,0.11122552320821845,0.1320103583424907,3,21
Europe,Country,28,1,0.03571428571428571,1.3129231165939352,28,-0.048860892068390616,-0.08108435053801233,0.11122552320821845,0.1320103583424907,4,21
Europe,Country,29,1,0.034482758620689655,1.2088736057410516,29,-0.10404951085288361,-0.05518861878449299,0.11122552320821845,0.1320103583424907,5,21
Europe,Country,31,1,0.03225806451612903,1.1288300721290314,31,0.1022562574648409,0.284556048541702,0.11122552320821845,0.1320103583424907,6,21
Europe,Country,34,1,0.029411764705882353,1.1000322914285172,34,0.09795787875593298,0.07839476532264034,0.11122552320821845,0.1320103583424907,7,21
Europe,Country,36,1,0.027777777777777776,1.0595492398733295,36,0.0661359244579528,0.17275490047109332,0.11122552320821845,0.1320103583424907,8,21
Europe,Country,33,1,0.030303030303030304,1.0020744126725842,33,0.019563113433292645,0.16588188632303247,0.11122552320821845,0.1320103583424907,9,21
Europe,Country,38,1,0.02631578947368421,0.908072189186044,38,-0.05274821423594411,0.04598062221539723,0.11122552320821845,0.1320103583424907,10,21
Georgia,County,14,1,0.07142857142857142,1.3349994380192938,14,0.026273089649961223,0.5185060920359086,0.030770108807377704,0.05163572668681138,1,14
