region,statistic,coefficient,slope,information
Spain,Pr(>|t|),2.2587763907244063e-7,5.444838819403149e-13,sdlog
Spain,R2,0.7780932079093513,0.7780932079093513,sdlog
Texas,Estimate,0.34878377720513554,0.7108530185761968,sdlog
Texas,Standard error,0.1380712328950166,0.08051662490569189,sdlog
Texas,t value,2.5261147444836367,8.82864898285056,sdlog
Texas,Pr(>|t|),0.014387953711905882,3.416385989859616e-12,sdlog
Texas,R2,0.5819180851841385,0.5819180851841385,sdlog
USA,Estimate,-2.2684541263341496,2.4969121146654563,sdlog
USA,Standard error,2.065203167759381,1.220575125321602,sdlog
USA,t value,-1.0984169314418026,2.0456849094049496,sdlog
USA,Pr(>|t|),0.30053717894024157,0.07110838086942844,sdlog
USA,R2,0.3173971739159882,0.3173971739159882,sdlog
Virginia,Estimate,-1.236684309921641,2.0210401440826975,sdlog
Virginia,Standard error,0.298480092456592,0.2659764703118373,sdlog
Virginia,t value,-4.143272335998395,7.598567428589382,sdlog
Virginia,Pr(>|t|),1.4510065034048996e-4,1.162339481445974e-9,sdlog
Virginia,R2,0.5565761884988354,0.5565761884988354,sdlog
World,Estimate,0.21772741790123892,0.9972852828677865,sdlog
World,Standard error,0.17524342874826176,0.06943080084531993,sdlog
World,t value,1.2424284291652707,14.363730084139016,sdlog
World,Pr(>|t|),0.21854227647475746,7.637645304599833e-22,sdlog
World,R2,0.7604276111469378,0.7604276111469378,sdlog
