region,statistic,coefficient,slope,information
Brasil,Estimate,-2.3126358413453376,0.8813375229362794,meanlog
Brasil,Standard error,0.11679343869025131,0.009280818990291706,meanlog
Brasil,t value,-19.801076732389866,94.96333500935762,meanlog
Brasil,Pr(>|t|),5.356881499039739e-28,4.142192400912653e-67,meanlog
Brasil,R2,0.9933906401522158,0.9933906401522158,meanlog
Colombia,Estimate,-2.9470685104905834,0.9284924956588301,meanlog
Colombia,Standard error,0.052555147753842825,0.006592504254621775,meanlog
Colombia,t value,-56.07573447027545,140.8406365468625,meanlog
Colombia,Pr(>|t|),8.275519789020789e-47,1.1516677978734421e-66,meanlog
Colombia,R2,0.9974856790442123,0.9974856790442123,meanlog
Europe,Estimate,-0.25752244958390963,0.6816653919004607,meanlog
Europe,Standard error,0.1934798197076906,0.01530994472691247,meanlog
Europe,t value,-1.331004184172668,44.52435355316472,meanlog
Europe,Pr(>|t|),0.18839627238379184,1.520410437220075e-46,meanlog
Europe,R2,0.9715744527280236,0.9715744527280236,meanlog
Georgia,Estimate,-4.069809581448778,1.0651546506487752,meanlog
Georgia,Standard error,0.31632791669387134,0.03977351244467807,meanlog
Georgia,t value,-12.865793269164309,26.78050252992678,meanlog
Georgia,Pr(>|t|),1.6408157715803465e-16,7.13087491102124e-29,meanlog
Georgia,R2,0.9421961760808601,0.9421961760808601,meanlog
Illinois,Estimate,-1.966990831721527,0.7364027621993433,meanlog
Illinois,Standard error,0.17505039622482335,0.021586831311189915,meanlog
Illinois,t value,-11.236711679276931,34.11351817149819,meanlog
Illinois,Pr(>|t|),5.649584031656847e-16,3.712045486411649e-39,meanlog
Illinois,R2,0.9540882797228694,0.9540882797228694,meanlog
India,Estimate,-3.8305182741940476,0.9353167607362115,meanlog
India,Standard error,0.1517760467528979,0.013062848323414538,meanlog
India,t value,-25.23796314467461,71.60128768085751,meanlog
India,Pr(>|t|),5.617523752633661e-29,1.2172073067419288e-49,meanlog
India,R2,0.9909156702789195,0.9909156702789195,meanlog
Kansas,Estimate,-0.4317616357295056,0.5047869589436774,meanlog
Kansas,Standard error,0.12247957104647583,0.016040841406827322,meanlog
Kansas,t value,-3.525172663820567,31.468857907218595,meanlog
Kansas,Pr(>|t|),0.0015910487193968807,3.1544909656303653e-22,meanlog
Kansas,R2,0.9744167264037175,0.9744167264037175,meanlog
Kentucky,Estimate,-2.7746384065527177,0.821446487799833,meanlog
Kentucky,Standard error,0.14214420691680676,0.017037677064819068,meanlog
Kentucky,t value,-19.519883833019236,48.21352609717141,meanlog
Kentucky,Pr(>|t|),2.1448665653438298e-20,1.338357082878053e-33,meanlog
Kentucky,R2,0.9851666260363824,0.9851666260363824,meanlog
Missouri,Estimate,-6.64278505509843,1.3038174164790752,meanlog
Missouri,Standard error,0.4450105596920552,0.05611346054251104,meanlog
Missouri,t value,-14.927252646982577,23.23537710691208,meanlog
Missouri,Pr(>|t|),1.4476140182758236e-14,2.2046559124174385e-19,meanlog
Missouri,R2,0.9523711031367236,0.9523711031367236,meanlog
North Carolina,Estimate,-2.330490512009193,0.7691261090889743,meanlog
North Carolina,Standard error,0.17938595174068514,0.020037618621310142,meanlog
North Carolina,t value,-12.991488404722345,38.38410759405329,meanlog
North Carolina,Pr(>|t|),1.1672368560471679e-16,1.8029825407841097e-35,meanlog
North Carolina,R2,0.9710018794459371,0.9710018794459371,meanlog
Spain,Estimate,1.6868693580452019,0.4724249071186872,meanlog
Spain,Standard error,0.18518487040027223,0.017608381270563984,meanlog
Spain,t value,9.10911001746027,26.829547807920434,meanlog
Spain,Pr(>|t|),9.187749772079237e-11,6.243522584022295e-25,meanlog
Spain,R2,0.9536316140858031,0.9536316140858031,meanlog
Texas,Estimate,-2.3341184108691335,0.8122144619184576,meanlog
Texas,Standard error,0.11287608972597185,0.014361861490033366,meanlog
Texas,t value,-20.678590271293498,56.553564625456545,meanlog
