region,subregion,date,cases,deaths,ma_days,lag_days,ma_cases,ma_deaths
Brasil,State,2020-02-25,1,0,10,19,NA,NA
Brasil,State,2020-02-26,0,0,10,19,NA,NA
Brasil,State,2020-02-27,0,0,10,19,NA,NA
Brasil,State,2020-02-28,1,0,10,19,NA,NA
Brasil,State,2020-02-29,0,0,10,19,NA,NA
Brasil,State,2020-03-01,0,0,10,19,1,0
Brasil,State,2020-03-02,0,0,10,19,1.5500000000000003,0
Brasil,State,2020-03-03,0,0,10,19,2.1,0
Brasil,State,2020-03-04,1,0,10,19,2.35,0
Brasil,State,2020-03-05,4,0,10,19,2.75,0
Brasil,State,2020-03-06,7,0,10,19,4.15,0
Brasil,State,2020-03-07,5,0,10,19,6.900000000000001,0
Brasil,State,2020-03-08,6,0,10,19,9.55,0
Brasil,State,2020-03-09,0,0,10,19,12.15,0
Brasil,State,2020-03-10,9,0,10,19,17.849999999999998,0
Brasil,State,2020-03-11,19,0,10,19,24.150000000000002,0
Brasil,State,2020-03-12,36,0,10,19,28.950000000000003,0.05
Brasil,State,2020-03-13,17,0,10,19,40.15,0.25
Brasil,State,2020-03-14,36,0,10,19,55.35000000000001,0.55
Brasil,State,2020-03-15,83,0,10,19,77.9,0.9
Brasil,State,2020-03-16,54,0,10,19,104.25000000000001,1.4500000000000002
Brasil,State,2020-03-17,54,1,10,19,132.50000000000003,2.1500000000000004
Brasil,State,2020-03-18,181,3,10,19,167.55,2.9499999999999997
Brasil,State,2020-03-19,129,3,10,19,197.95000000000005,4.05
Brasil,State,2020-03-20,331,4,10,19,222.70000000000002,5.3
Brasil,State,2020-03-21,224,7,10,19,252.6,6.800000000000001
Brasil,State,2020-03-22,396,7,10,19,292.70000000000005,8.450000000000003
Brasil,State,2020-03-23,358,9,10,19,329.20000000000005,10.15
Brasil,State,2020-03-24,303,13,10,19,355.65000000000003,12.15
Brasil,State,2020-03-25,311,12,10,19,368.05,14.35
Brasil,State,2020-03-26,424,18,10,19,415.75000000000006,16.950000000000006
Brasil,State,2020-03-27,486,16,10,19,498.15000000000015,20.15
Brasil,State,2020-03-28,479,22,10,19,574.25,24.500000000000004
Brasil,State,2020-03-29,360,24,10,19,655.25,29.45
Brasil,State,2020-03-30,348,27,10,19,738.5999999999999,35.199999999999996
Brasil,State,2020-03-31,1161,36,10,19,812.4499999999999,40.300000000000004
Brasil,State,2020-04-01,1107,42,10,19,861,44.85000000000001
