region,subregion,date,hurst_value,hurst_sd,information,window_flag,length,hurst_excess_fit,hurst_excess_lower,hurst_excess_upper
Brasil,State,2020-04-25,1.0158337851151424,0.21613351322675992,cases,no_fixed,60,0.019315422663577664,0.018691989131110434,0.019938856196044897
Brasil,State,2020-04-28,1.0666180003753,0.19560122211520592,cases,no_fixed,63,0.018866277331734183,0.018254406163362425,0.01947814850010594
Brasil,State,2020-05-08,0.7717419110621268,0.22815469631384724,cases,no_fixed,73,0.017512413129625926,0.016936225580147596,0.018088600679104255
Brasil,State,2020-05-16,0.9774578274283086,0.20056878451289492,cases,no_fixed,81,0.01655891022178646,0.016008605019914992,0.017109215423657932
Brasil,State,2020-05-21,0.9674268670326772,0.19504140104395845,cases,no_fixed,86,0.01601048953745432,0.015475352871982186,0.016545626202926454
Brasil,State,2020-05-24,0.8554607663891195,0.18958816590130445,cases,no_fixed,89,0.01569680471463586,0.01517043685215129,0.01622317257712043
Brasil,State,2020-05-27,0.9647769926384735,0.13013471445721048,cases,no_fixed,92,0.015393701533935933,0.01487587084822041,0.015911532219651456
Brasil,State,2020-06-06,0.9674054534401039,0.14756172887414698,cases,no_fixed,102,0.01445145091721911,0.013960562992014229,0.014942338842423995
Brasil,State,2020-06-14,0.8708801538860049,0.12710792936068163,cases,no_fixed,110,0.013763028011333334,0.01329221154241102,0.014233844480255647
Brasil,State,2020-06-19,0.9414620846544366,0.10160732366458025,cases,no_fixed,115,0.013358180076023074,0.012899319984153099,0.01381704016789305
Brasil,State,2020-06-22,0.9470402681868705,0.10099321749997109,cases,no_fixed,118,0.01312378314898821,0.012671897280386445,0.013575669017589977
Brasil,State,2020-06-25,0.9166771270311229,0.10908219209829503,cases,no_fixed,121,0.0128953743178023,0.012450321062361169,0.013340427573243432
Brasil,State,2020-07-05,0.7601342538178603,0.08797822876809994,cases,no_fixed,131,0.012173615888160794,0.011750390738905457,0.01259684103741613
Brasil,State,2020-07-13,0.8876304434737637,0.07505368698187045,cases,no_fixed,139,0.011635490385169756,0.011228774825550765,0.012042205944788746
Brasil,State,2020-07-18,0.8541189844079305,0.08157305981950831,cases,no_fixed,144,0.011314941254340183,0.010918155669787662,0.011711726838892706
Brasil,State,2020-07-21,0.939631314822478,0.11116870920587059,cases,no_fixed,147,0.011128004802761327,0.010737043117101469,0.011518966488421186
Brasil,State,2020-07-24,0.8908498462074496,0.11449127971150405,cases,no_fixed,150,0.010944911391506662,0.010559677445013268,0.011330145338000058
Brasil,State,2020-08-03,0.7500478270590234,0.1275074618718544,cases,no_fixed,160,0.010360449980087227,0.009993656029929037,0.010727243930245418
Brasil,State,2020-08-11,0.6617769203389685,0.13102541194372405,cases,no_fixed,168,0.009919049621726406,0.009566339885770752,0.010271759357682061
Brasil,State,2020-08-16,0.671565491993264,0.13106029162217295,cases,no_fixed,173,0.009653908972666048,0.009309724738472146,0.00999809320685995
Brasil,State,2020-08-19,0.7095592931010247,0.1036261343921274,cases,no_fixed,176,0.009498542631145801,0.009159376968569204,0.009837708293722398
Brasil,State,2020-08-22,0.6873875859782964,0.10788184748549602,cases,no_fixed,179,0.00934584849468656,0.009011631529042496,0.009680065460330624
Brasil,State,2020-09-01,0.6644927811129716,0.09994433007871838,cases,no_fixed,189,0.008855049325060982,0.008536849252326183,0.009173249397795779
Brasil,State,2020-09-09,0.6637318986566937,0.09892511764249724,cases,no_fixed,197,0.008481076032865964,0.00817519356146039,0.008786958504271537
Brasil,State,2020-09-14,0.6645784789100405,0.0985882453956903,cases,no_fixed,202,0.008255111966413264,0.007956719618606415,0.008553504314220113
Brasil,State,2020-09-17,0.6317382584622883,0.08711710674389583,cases,no_fixed,205,0.008122249914283897,0.007828278322661857,0.008416221505905937
Brasil,State,2020-09-20,0.6327565607103155,0.0868507281057992,cases,no_fixed,208,0.00799135210791635,0.007701748032306697,0.008280956183526002
Brasil,State,2020-09-30,0.6445269475625216,0.0802350740184137,cases,no_fixed,218,0.007568501504951697,0.007293088428480399,0.007843914581422994
Brasil,State,2020-10-08,0.6560876779340639,0.08204545821599431,cases,no_fixed,226,0.007244198357032827,0.006979754163396643,0.0075086425506690115
Brasil,State,2020-10-13,0.6549876721732062,0.08283962197525084,cases,no_fixed,231,0.007047389238437951,0.006789637787972859,0.007305140688903042
Brasil,State,2020-10-16,0.6572170384945508,0.08269953959605235,cases,no_fixed,234,0.00693137415700984,0.006677580722413939,0.00718516759160574
Brasil,State,2020-10-19,0.6527597662296947,0.07776625228275258,cases,no_fixed,237,0.006816863054732725,0.006566985622540766,0.007066740486924683
Brasil,State,2020-10-29,0.7004901329222717,0.078806062405937,cases,no_fixed,247,0.006445541960436452,0.006208426381985103,0.0066826575388878005
Brasil,State,2020-11-06,0.7017747047788698,0.07823069302683827,cases,no_fixed,255,0.006159338877200882,0.005932126115676183,0.00638655163872558
Brasil,State,2020-11-11,0.6828106221848806,0.07416053818516131,cases,no_fixed,260,0.005985065856120131,0.005763911380661852,0.00620622033157841
Brasil,State,2020-11-14,0.6826505834292838,0.07335389216039832,cases,no_fixed,263,0.005882131794609946,0.005664565712119473,0.0060996978771004195
Brasil,State,2020-11-17,0.6827886624924062,0.07326162978172625,cases,no_fixed,266,0.005780385837637514,0.005566374086638586,0.005994397588636442
Brasil,State,2020-11-27,0.7102042057722832,0.06467797586455629,cases,no_fixed,276,0.0054494748908144874,0.005247073587757382,0.0056518761938715925
Brasil,State,2020-12-05,0.7170891148157836,0.06234003507924457,cases,no_fixed,284,0.005193415630468823,0.005000051666534468,0.005386779594403177
Brasil,State,2020-12-10,0.7141560095572408,0.06295270942958787,cases,no_fixed,289,0.0050370799383443465,0.004849256497127721,0.005224903379560972
Brasil,State,2020-12-13,0.7107653165025832,0.06097334959178173,cases,no_fixed,292,0.004944594419160064,0.004760056805959892,0.0051291320323602375
Brasil,State,2020-12-16,0.7165616666830226,0.060605153747575885,cases,no_fixed,295,0.004853070931764569,0.004671790933639353,0.005034350929889786
Brasil,State,2020-12-26,0.8455931463134595,0.06635051212584245,cases,no_fixed,305,0.004554692890067047,0.004384074359060545,0.004725311421073548
Brasil,State,2021-01-03,0.857689900351882,0.07371218961817708,cases,no_fixed,313,0.004323073144649858,0.004160774248716342,0.004485372040583374
Brasil,State,2021-01-08,0.8362844797029867,0.07336175666864932,cases,no_fixed,318,0.004181350644919979,0.004024161108952851,0.0043385401808871075
Brasil,State,2021-01-11,0.8143206899045883,0.06751609591120279,cases,no_fixed,321,0.004097401656754984,0.003943245364370877,0.004251557949139091
Brasil,State,2021-01-14,0.8153919185420166,0.06707331937398033,cases,no_fixed,324,0.004014247384265035,0.003863100555777045,0.0041653942127530255
Brasil,State,2021-01-24,0.7743018742788301,0.07155124177760863,cases,no_fixed,334,0.0037426193658912643,0.0036013373577419923,0.0038839013740405368
Brasil,State,2021-02-01,0.7964839959400061,0.0823459583020811,cases,no_fixed,342,0.003531210899655801,0.0033976429985561043,0.003664778800755498
Brasil,State,2021-02-06,0.7976069192938816,0.08185961768681235,cases,no_fixed,347,0.00340162129352517,0.003272797721284698,0.003530444865765642
Brasil,State,2021-02-09,0.7982919464762286,0.08169524515696268,cases,no_fixed,350,0.003324776600762691,0.003198771989674804,0.003450781211850578
Brasil,State,2021-02-12,0.830475254033669,0.07624026599734743,cases,no_fixed,353,0.0032485993546356173,0.003125393369633605,0.00337180533963763
Brasil,State,2021-02-22,0.8262288105012175,0.07364690289713477,cases,no_fixed,363,0.0029993514691626366,0.0028853313241807965,0.003113371614144477
Brasil,State,2021-03-02,0.8259490242262596,0.07257750718313631,cases,no_fixed,371,0.002804933740382154,0.0026981094447642946,0.0029117580360000133
Brasil,State,2021-03-07,0.8271671362193947,0.07195849977772839,cases,no_fixed,376,0.002685577500899816,0.002583184206536846,0.0027879707952627865
