region,subregion,date,lag,ccf,pacf_cases,pacf_deaths,days,pacf_cases_d1,pacf_cases_d2,pacf_deaths_d1,pacf_deaths_d2,pacf_cases_d1_sd,pacf_cases_d2_sd,pacf_deaths_d1_sd,pacf_deaths_d2_sd,minima,ma_days
Brasil,State,2020-03-06,10,0.2885367688750825,-0.25079711176050806,-0.04646925363290466,10,-0.08662414691410467,-0.12074801126323675,0.04066507212639575,-0.20030086785210205,0.13775647057960771,0.20333233206907625,0.1800815968599319,0.28517741097121696,1,10
Brasil,State,2020-03-12,16,0.28827503079354905,-0.1175787755464122,-0.11351866980365428,16,-0.04083519709853094,0.11336276246089617,0.13587474728556043,0.49348500845121784,0.13775647057960771,0.20333233206907625,0.1800815968599319,0.28517741097121696,2,10
Brasil,State,2020-07-02,128,-0.062158466121904045,-0.09179447301937378,0.04187412626501577,128,-0.0885004702242285,-0.05058344004805402,0.03567981313977246,0.020558774583884068,0.13775647057960771,0.20333233206907625,0.1800815968599319,0.28517741097121696,3,10
Brasil,State,2020-12-30,309,0.4233883487266749,-0.08479157970248549,-0.023351941029713164,309,-0.11293977800118175,-0.11157280954857658,0.020683729693330016,0.061207803687929496,0.13775647057960771,0.20333233206907625,0.1800815968599319,0.28517741097121696,4,10
Brasil,State,2020-06-17,113,0.018994689561028552,-0.07809406336674751,-0.011995207936796384,113,-0.11474876931853041,-0.12956233060253086,-0.00138008760980079,0.00159331910056468,0.13775647057960771,0.20333233206907625,0.1800815968599319,0.28517741097121696,5,10
Brasil,State,2020-06-18,114,-0.04766137850731312,-0.06622661468611009,-0.015499821021753526,114,0.011867448680637424,0.12661621799916783,-0.003504613084957142,-0.002124525475156352,0.13775647057960771,0.20333233206907625,0.1800815968599319,0.28517741097121696,6,10
Brasil,State,2020-09-08,196,0.057219046159369874,-0.06340806765163406,-0.043590383636709244,196,-0.08793751316838355,-0.12749484688278254,-0.07495649447673663,-0.1389273603530815,0.13775647057960771,0.20333233206907625,0.1800815968599319,0.28517741097121696,7,10
Brasil,State,2020-07-18,144,-0.11877944462531494,-0.06291535447679227,-0.003319219318564349,144,-0.10085129458235131,-0.10412301097119032,-0.055964054507958376,-0.12554899586561294,0.13775647057960771,0.20333233206907625,0.1800815968599319,0.28517741097121696,8,10
Brasil,State,2020-08-02,159,-0.10191339222484198,-0.06124292412556883,-0.030340270440591195,159,-0.014427113545582411,0.01695831902010967,-0.04075857881015945,-0.04714071139292641,0.13775647057960771,0.20333233206907625,0.1800815968599319,0.28517741097121696,9,10
Brasil,State,2020-03-15,19,0.24763300919547096,-0.060699667403067516,0.010411499274891614,19,-0.01758843379954523,0.025741479838976414,0.057711085843179986,-0.006088434243810399,0.13775647057960771,0.20333233206907625,0.1800815968599319,0.28517741097121696,10,10
Colombia,Municipalities,2020-03-16,12,0.6718029830690593,-0.09280261498567002,-0.020256126839438435,14,-0.052964655928280924,-0.037121834787641375,0.10881873065881544,0.11231111032088058,0.15015669097332124,0.2340811029552778,0.1193955081233052,0.17594858174779954,1,14
Colombia,Municipalities,2020-10-01,211,0.23229858233850564,-0.08978206515768225,0.034546221735613517,213,-0.07268427311171091,-0.019376490964092413,0.04996980657871672,0.0863476166293789,0.15015669097332124,0.2340811029552778,0.1193955081233052,0.17594858174779954,2,14
Colombia,Municipalities,2020-07-30,148,0.1725384110560974,-0.08777646566672319,-0.05343320321652409,150,-0.14889061577941573,-0.14792701981706002,-0.034932387933452186,-0.011599702211109432,0.15015669097332124,0.2340811029552778,0.1193955081233052,0.17594858174779954,3,14
Colombia,Municipalities,2021-03-23,384,-0.2201153089827483,-0.07760939080100226,0.014375311856209765,386,-0.06005262042650923,-0.04553695652374523,0.008756964138383347,-0.013337557204488986,0.15015669097332124,0.2340811029552778,0.1193955081233052,0.17594858174779954,4,14
Colombia,Municipalities,2020-10-12,222,0.19342481261064068,-0.0773056933463774,0.013660773227287397,224,-0.06874898392696416,-0.05621545739865037,0.043306303276923606,0.11217111349031786,0.15015669097332124,0.2340811029552778,0.1193955081233052,0.17594858174779954,5,14
Colombia,Municipalities,2020-09-10,190,0.26185097080570685,-0.07707784715325378,-0.025852673768794614,192,-0.10054754043377431,-0.059730697014587844,-0.0150601826346893,0.0510714443420441,0.15015669097332124,0.2340811029552778,0.1193955081233052,0.17594858174779954,6,14
Colombia,Municipalities,2020-05-14,71,0.16290804162810563,-0.07556182170160608,0.0020234444329357048,73,-0.11744264302989298,-0.1576451634793839,0.008636429201105127,0.028326917177273855,0.15015669097332124,0.2340811029552778,0.1193955081233052,0.17594858174779954,7,14
Colombia,Municipalities,2021-03-07,368,-0.1224945285061824,-0.07253912105010069,0.00961822197330158,370,-0.06528677243739221,-0.12262654713858356,0.014139299646421884,-0.010783990609171993,0.15015669097332124,0.2340811029552778,0.1193955081233052,0.17594858174779954,8,14
Colombia,Municipalities,2020-04-30,57,0.2676366187385827,-0.0713754774324738,-0.020083252394818844,59,-0.10883781555540042,-0.11049727755299282,-0.0067964409567725335,-0.02141455844155338,0.15015669097332124,0.2340811029552778,0.1193955081233052,0.17594858174779954,9,14
Colombia,Municipalities,2020-05-10,67,0.18956815968846075,-0.07108698358321142,0.007785626774514794,69,-0.0975850622282051,-0.12599831654963353,-0.03626873178578442,-0.13460785442311424,0.15015669097332124,0.2340811029552778,0.1193955081233052,0.17594858174779954,10,14
