region,subregion,date,tfs_coefficient_value,tfs_exponent_value,tfs_coefficient_sd,tfs_exponent_sd,tfs_coefficient_r2,tfs_exponent_r2,information,window_flag,length
Brasil,State,2020-06-02,-0.0360784866553779,2.06195878251956,0.0708941816064384,0.00814729171526011,0.998628003554343,0.998628003554343,cases,fixed,90
Brasil,State,2020-06-03,0.113732239000463,2.04579671136689,0.0519152953582551,0.00590775833058751,0.999266695119733,0.999266695119733,cases,fixed,90
Brasil,State,2020-06-04,0.178808372496836,2.03886156689516,0.0488381037144056,0.00550413239468564,0.999359076053941,0.999359076053941,cases,fixed,90
Brasil,State,2020-06-05,0.209269869346608,2.03566235895342,0.0495316636660137,0.0055297717735376,0.999351061303156,0.999351061303156,cases,fixed,90
Brasil,State,2020-06-06,0.252149398785059,2.0312131773282,0.0489164626750421,0.0054107513948536,0.999375955273009,0.999375955273009,cases,fixed,90
Brasil,State,2020-06-07,0.309549639839117,2.02531429347781,0.0460622153710432,0.00504899291820312,0.999453399670183,0.999453399670183,cases,fixed,90
Brasil,State,2020-06-08,0.308834793620405,2.02541806205131,0.0455802239979584,0.00497717380032342,0.999462853290444,0.999462853290444,cases,fixed,90
Brasil,State,2020-06-09,0.374388426919231,2.01875877439486,0.0405567152319083,0.00438983551516469,0.999579336416396,0.999579336416396,cases,fixed,90
Brasil,State,2020-06-10,0.429225594454112,2.01325305262647,0.0366837870108287,0.00393660178094999,0.999659835892648,0.999659835892648,cases,fixed,90
Brasil,State,2020-06-11,0.456899325752539,2.01053178362275,0.0364678901690838,0.0038807264116808198,0.999668525448362,0.999668525448362,cases,fixed,90
Brasil,State,2020-06-12,0.489843149100722,2.00730758405839,0.0355381733224207,0.00375088740082587,0.999689332896739,0.999689332896739,cases,fixed,90
Brasil,State,2020-06-13,0.524690882214881,2.00391954998612,0.0341930962323206,0.00358009429602215,0.999716015247391,0.999716015247391,cases,fixed,90
Brasil,State,2020-06-14,0.541777971713644,2.00230051925734,0.0346939784426249,0.00360427411216192,0.999711701828888,0.999711701828888,cases,fixed,90
Brasil,State,2020-06-15,0.557796121211965,2.00079087502583,0.0352707035924695,0.0036363740657539,0.999706102388083,0.999706102388083,cases,fixed,90
Brasil,State,2020-06-16,0.579591217355174,1.99872646424976,0.03537551278154,0.00362012362967489,0.999708120693682,0.999708120693682,cases,fixed,90
Brasil,State,2020-06-17,0.586471628890284,1.99810820560527,0.0364147959121746,0.00369956192408137,0.999694985759704,0.999694985759704,cases,fixed,90
Brasil,State,2020-06-18,0.588560420627682,1.99794412569975,0.0375684729117045,0.00378990435370557,0.999679859387611,0.999679859387611,cases,fixed,90
Brasil,State,2020-06-19,0.570687314639744,1.99967012279604,0.0381476552787587,0.00382202662571607,0.999674972934415,0.999674972934415,cases,fixed,90
Brasil,State,2020-06-20,0.547141800493696,2.00190789245335,0.0381644548820884,0.00379828823860548,0.999679713569324,0.999679713569324,cases,fixed,90
Brasil,State,2020-06-21,0.515909925620529,2.00483509430286,0.0370720584783142,0.00366573443980778,0.999702542111551,0.999702542111551,cases,fixed,90
Brasil,State,2020-06-22,0.48232182431499,2.00794503872737,0.0352546976056997,0.00346412889012504,0.999735174731136,0.999735174731136,cases,fixed,90
Brasil,State,2020-06-23,0.451683753190935,2.01074667682687,0.0335141818494877,0.00327294075688735,0.999764251368948,0.999764251368948,cases,fixed,90
Brasil,State,2020-06-24,0.426420269773583,2.01302358314902,0.032312723505522,0.003136742402614,0.999783949064707,0.999783949064707,cases,fixed,90
Brasil,State,2020-06-25,0.405863367247158,2.01484532352719,0.0315868507736852,0.00304836598996528,0.999796318149643,0.999796318149643,cases,fixed,90
Brasil,State,2020-06-26,0.389207824090812,2.01629251813408,0.0312412949175435,0.00299779566950595,0.999803301271889,0.999803301271889,cases,fixed,90
Brasil,State,2020-06-27,0.376753081647237,2.01734317306418,0.0312987612227148,0.00298652234113163,0.999804980844004,0.999804980844004,cases,fixed,90
Brasil,State,2020-06-28,0.370499634642939,2.01782198108192,0.031865328403183,0.00302392802947843,0.999800160924101,0.999800160924101,cases,fixed,90
Brasil,State,2020-06-29,0.371904265327193,2.01760380151032,0.0328103458465366,0.00309687209463677,0.999790360210902,0.999790360210902,cases,fixed,90
Brasil,State,2020-06-30,0.374130219769639,2.01730692762121,0.0338158071784824,0.00317496944898768,0.999779590953835,0.999779590953835,cases,fixed,90
Brasil,State,2020-07-01,0.37424610262012,2.01719344107134,0.0347956788506105,0.00325012929892914,0.99976900857425,0.99976900857425,cases,fixed,90
Brasil,State,2020-07-02,0.371237530912577,2.01735134407536,0.03566022664702,0.00331407686778817,0.999759869249937,0.999759869249937,cases,fixed,90
Brasil,State,2020-07-03,0.366080032065693,2.01769203013783,0.0364110875416894,0.00336713998900973,0.999752203615892,0.999752203615892,cases,fixed,90
Brasil,State,2020-07-04,0.35980991631667,2.01812221275962,0.0370992375972014,0.003414174374844,0.999745342853678,0.999745342853678,cases,fixed,90
Brasil,State,2020-07-05,0.354340660582366,2.01847312538895,0.0378783528473708,0.0034693391998922,0.999737140657762,0.999737140657762,cases,fixed,90
Brasil,State,2020-07-06,0.352034571435331,2.01853975289059,0.0389269065521902,0.00354878220472955,0.999724986107475,0.999724986107475,cases,fixed,90
Brasil,State,2020-07-07,0.350672451036172,2.01851762699749,0.0400820351614638,0.00363740607610528,0.999711076415765,0.999711076415765,cases,fixed,90
Brasil,State,2020-07-08,0.348044137090116,2.01859842644563,0.0411975327089519,0.00372190081833675,0.999697525787445,0.999697525787445,cases,fixed,90
Brasil,State,2020-07-09,0.344254635587963,2.01877238056711,0.0422664145985342,0.00380170576495706,0.999684473930295,0.999684473930295,cases,fixed,90
Brasil,State,2020-07-10,0.340441437320117,2.01894178478841,0.0433715406283194,0.0038843077945874,0.999670673530669,0.999670673530669,cases,fixed,90
Brasil,State,2020-07-11,0.33932044695129,2.01887548107827,0.0447260318393621,0.00398867055526563,0.999652722675508,0.999652722675508,cases,fixed,90
Brasil,State,2020-07-12,0.341894739266764,2.01848984658858,0.046366973510742,0.00411781789144029,0.999629737006629,0.999629737006629,cases,fixed,90
